designation,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat
Gaia DR2 1346287567999525120,2015.5,269.7022470014364,0.04270087357927571,43.9239684389005,0.046038525998310896,0.6566538196374271,0.048173637644995174,-12.400807932928668,0.09297534879056213,-16.205696234370084,0.0906729199961109,1.5472421160734042,0.011619004908389293,16.542582,,,70.6606534816155,27.531089175930976,269.44283440044353,67.36267342885166
Gaia DR2 1346175142935331200,2015.5,268.81798374306874,0.01601007833222863,43.01238245889714,0.022599142644005022,0.5893132384983937,0.02160876871428199,-1.9726881259599334,0.03482627141600749,2.9577712606367936,0.04121312617547561,1.5843828676594396,0.004862323954381565,14.703535,,,69.50066443193022,27.96575814780181,267.83711011523474,66.44278910408589
Gaia DR2 1346254062959052800,2015.5,269.2386213356702,0.37978408878769665,43.63546885769745,0.3522017568066733,0.4857399386849924,0.4113213430739718,-4.996866872619821,0.7116786726273221,-1.70954703237557,0.8806861137599898,1.598453203915552,0.11703134318345904,19.447948,,,70.2625892697414,27.797518611369405,268.58550651003515,67.07101137791868
Gaia DR2 1346223212209546880,2015.5,269.95517842487186,0.04847207607448547,43.706985463066324,0.05155086125802302,0.3745457832626541,0.05499699058088872,-4.970345238652768,0.099143071947497,-17.04405153574372,0.10800182146989273,1.578906375862367,0.014792168006634743,16.679737,,,70.46591212092895,27.306348119973414,269.91660328617087,67.1462533253871
Gaia DR2 4291140548859734784,2015.5,293.37777450373915,0.1752422011854037,4.727970246995282,0.12854060541979648,0.39046434090047544,0.18988213787839076,-4.710289237889063,0.3636876762398791,-6.978687715293868,0.25464558487234,1.4642140946767932,0.030359606646647695,18.457636,,,41.995824152112114,-7.142039506002727,296.1192278554648,26.072236211047947
Gaia DR2 4291139483720572160,2015.5,293.44100394188536,0.08181201747873482,4.690117532838369,0.06355646929303833,0.42009609736273484,0.09527691695230554,2.5099978734603385,0.17307766266873686,-4.949014285064846,0.13484622702513988,1.5279484666752154,0.014798937854675202,17.366507,,,41.99212771305187,-7.215458810165706,296.18086342982934,26.02388898820973
Gaia DR2 4291126701886900736,2015.5,293.4213511639951,0.42928212375731,4.604475172923914,0.34657309388123936,0.40065179541519236,0.48571477205335023,-2.7982311579718737,0.9293935657546777,-4.530589046684641,0.7314094289115876,1.6852739780715107,0.08815050334340155,19.973936,,,41.90668695975943,-7.238561160308317,296.1426484165758,25.943029650543387
Gaia DR2 4291134402768587648,2015.5,293.6403719794931,0.3005522285205742,4.719434753122084,0.19256192673463038,-0.16100098961567563,0.3359520045545727,-3.8179518977572613,0.6284731547042378,-4.554152986863141,0.4349610810185173,1.4426600302255028,0.0655738255474989,19.001892,,,42.112697633846636,-7.376818885489608,296.40425722210574,26.01761632869376
Gaia DR2 4291149211839326208,2015.5,293.51313990895613,0.08338896169762325,4.889776361037643,0.06629565214101135,0.3163225760767248,0.09977998842299858,1.122948348803427,0.18214649327714041,-5.458013919787621,0.14049960423178467,1.5205871727449456,0.014785340931068104,17.240583,,,42.20375146459234,-7.184639151371636,296.2989076583104,26.207727325673524
Gaia DR2 4291143645540076160,2015.5,293.3087506676173,1.7642805718201708,4.761538714786204,0.998391203911817,0.5492440184870158,1.407039455928845,5.448195692321776,3.1117695048056437,2.9599024189343455,1.702182573542782,1.5664533940477088,0.19243862659590247,20.521473,,,41.99297760776236,-7.065550583839635,296.0503820146791,26.11735612320643
Gaia DR2 4291129798569408128,2015.5,293.52265499318264,23.51202973195639,4.7384953358904625,15.913483659679994,,,,,,,,,21.122398,,,42.07382028887285,-7.264393341836854,296.27951048550415,26.057153131386205
Gaia DR2 4291145535347013888,2015.5,293.4075351983793,0.07863246514725773,4.810070917905667,0.05939510266080628,0.4759512547103675,0.10115651670257006,-1.825031814749884,0.15995594879007016,-5.065440135263913,0.11850361066251487,1.5197196500941859,0.014127109487164542,17.235853,,,42.08288263989517,-7.129474895113934,296.1678219078379,26.14784097006846
Gaia DR2 4291151754460141056,2015.5,293.63526110569313,0.16621031295125122,4.9668213770664895,0.1262953701708708,0.04236950837297097,0.21155975958912393,-1.7836466657652938,0.36758032223004844,0.8865847760079016,0.23881198376568566,1.4650660740543688,0.024203503953781427,18.09527,,,42.3301251319704,-7.255501066334932,296.4476331211821,26.261972209671967
Gaia DR2 4291129416304508160,2015.5,293.51258044885884,0.47278492436249464,4.7303530953927195,0.36808904228858985,1.6776462838409147,0.5630902341539114,9.347278670612864,1.0375377569057043,16.16923018519039,0.7943012221227498,1.5068956428146179,0.0851790953796732,18.277647,,,42.061807933972744,-7.259382352374034,296.26690915111226,26.05091287440283
Gaia DR2 4291143817360096128,2015.5,293.32241301059776,0.06183041601694038,4.755519933130295,0.0465464599061094,0.24598736139076738,0.07516404082389967,-2.726960626411655,0.12360564596740815,-7.6521945385098435,0.0886942455780811,1.4387518074398227,0.0113746365659214,16.751087,,,41.99409623916927,-7.080395395460067,296.06413484606105,26.109043343084238
Gaia DR2 4291124674660146432,2015.5,293.62514928619703,0.3292574605425891,4.633980226941178,0.2765759560691503,-0.36990821267839236,0.351524307636435,-1.3865507408249278,0.7190344222977529,-4.89940234734288,0.6084287281917061,1.43577953156704,0.061484895053196945,19.335491,,,42.02950726274915,-7.403773118248762,296.37078646025896,25.93620807151789
Gaia DR2 4291146153804988160,2015.5,293.43827229469764,13.655146957111413,4.8584543986271465,24.239732617174703,,,,,,,,,21.305351,,,42.140437880203095,-7.1336547458666155,296.21091165017566,26.19007158384393
Gaia DR2 4291152132417088896,2015.5,293.4932052662629,0.23051209695649388,4.879393310401333,0.17209957861632202,-0.0739195431687945,0.2859009719851312,-1.9489778629434236,0.4739606038121451,-5.682570177016533,0.35017599151512085,1.6104313874412415,0.04157924435898418,18.921747,,,42.185076076688226,-7.172029937398709,296.2750729301029,26.20101958747061
Gaia DR2 4291143714280759808,2015.5,293.29837828266824,0.0808085417752821,4.772169651746956,0.06037417886244246,0.21051771239358022,0.09106729566900339,-4.440880468385014,0.1586852624746264,-6.878859707031882,0.11709138142131371,1.5621533679443436,0.014118076860796329,17.19622,,,41.997515220639094,-7.05142326294611,296.041122895461,26.129634140298702
Gaia DR2 6253610096807483136,2015.5,232.48843073257666,1.0269075855315943,-20.8311955408162,0.7029050779317559,0.22335774842842984,1.0018469794860085,-4.168948912887031,2.7545210117526056,1.583795144274124,1.7817122111962564,1.098692586000751,0.27572186362287215,20.458216,,,345.6884805767391,28.5873970325789,235.2917611162076,-1.7975366577170773
Gaia DR2 6253712321325878016,2015.5,233.81252292179286,0.9152141768516291,-20.215010116559625,0.723377041407013,-1.5830339066711998,0.9860818420051312,-7.15716074809667,1.8785347782992772,-4.836944355067922,1.464204180706405,2.0197004594196377,0.2532133236036682,20.421694,,,347.2130637094227,28.241888275327348,236.34925770602229,-0.9032593613686085
Gaia DR2 6253548764675222272,2015.5,232.5237499325292,0.21944351315640903,-21.112720399136624,0.17197557970828178,0.47223758526635823,0.24743503865920316,1.7786932192940699,0.4984648713983623,-10.54356356785664,0.3850504083454845,1.7075099722795737,0.0550904964643392,18.706842,,,345.5102441564037,28.351188504671786,235.39201607216782,-2.062686151087338
Gaia DR2 6253663599218710272,2015.5,232.7369034147869,5.928688948156251,-20.283117340359283,2.342939775382443,,,,,,,,,21.048315,,,346.29590134866396,28.853395554762553,235.38512690921758,-1.2094853910485523
Gaia DR2 6253595459560632960,2015.5,233.17040463507726,0.8857082373370709,-20.52456712287285,0.7179214013490721,-0.39180680236441834,1.2140199185746083,-7.226410520915688,2.2464876355699532,7.290324418647941,2.059231492145109,1.8096501151200701,0.22393240392571673,20.262936,,,346.4668305502295,28.405209897019912,235.8375730089354,-1.3465034086663994
Gaia DR2 6253584670602200704,2015.5,233.0226286662077,0.1283242378453356,-20.786379982014395,0.09195403378480595,0.38850747777323125,0.1390688050441863,-1.8994534297351329,0.2458840018142354,-3.8584343239974106,0.19040497135829992,1.5637382538887254,0.027499834697344006,17.332182,,,346.153526976615,28.29730766367938,235.7658330432113,-1.6337719915222235
Gaia DR2 6253719876171892864,2015.5,233.82626904138746,0.43164691610115286,-20.11473217030063,0.3358064067852259,1.5361995915074904,0.5607242746206348,6.322476542387051,0.923416021552772,-4.9610997300707185,0.6772499219668893,1.6408060261146873,0.11250401029530321,19.447926,,,347.2994693113436,28.30845839303458,236.33824920872777,-0.8027555912987591
